,TITLE,PRICE,AVAILABILITY,RATING,BOOKURL,IMAGEURL
0,A Light in the ...,£51.77,In stock,Three,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
1,Tipping the Velvet,£53.74,In stock,One,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
2,Soumission,£50.10,In stock,One,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
3,Sharp Objects,£47.82,In stock,Four,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
4,Sapiens: A Brief History ...,£54.23,In stock,Five,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
5,The Requiem Red,£22.65,In stock,One,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
6,The Dirty Little Secrets ...,£33.34,In stock,Four,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
7,The Coming Woman: A ...,£17.93,In stock,Three,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
8,The Boys in the ...,£22.60,In stock,Four,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
9,The Black Maria,£52.15,In stock,One,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
10,Starving Hearts (Triangular Trade ...,£13.99,In stock,Two,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
11,Shakespeare's Sonnets,£20.66,In stock,Four,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
12,Set Me Free,£17.46,In stock,Five,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
13,Scott Pilgrim's Precious Little ...,£52.29,In stock,Five,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
14,Rip it Up and ...,£35.02,In stock,Five,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
